1,BV11009136,BV10019585,广东电视台,华师大南门
2,BV11091393,BV11206247,迎宾馆,海珠广场总站(侨光西)
3,BV10018606,BV11688480,光塔路,康王南路
4,BV10018357,BV10013605,花地湾地铁站,下芳村
5,BV11688484,BV09001152,石路基,彩虹桥
6,BV09002684,BV11688404,人民北路,大南路站
7,BV10013929,BV11278289,小北花圈,东风东路(陵园西路口)
8,BV11688570,BV11312278,执信路,沿江东路
9,BV11688477,BV11688513,大沙头,基立下道
10,BV10388873,BV10018682,地铁市二宫站,一德中
11,BV10022337,BV11688352,大新西,六二三路
12,BV11545108,BV10016189,上下九步行街,华贵路口,
13,BV10018680,BV11688565,和平东,惠福路
14,BV10021780,BV10014338,三元宫,老干大学
15,BV10018320,BV11468422,民航子弟学校,地铁石潭站
16,BV10017833,BV10819365,石榴岗总站,大沙新村东街口
17,BV10018361,BV11688348,逸景路西,康乐村,
18,BV11687959,BV11688377,怡乐村,沙涌站,
19,BV10022809,BV10021665,会展公园站,赤岗总站
20,BV11357632,BV10018618,宸悦路总站,石基村口
